lemma,poscode,surface
ARLOTTO,3,ARLOTTO
ARMANINI,3,ARMANINI
ARMANO,3,ARMANO
ARMELLINI,3,ARMELLINI
ARMENI,3,ARMENI
ARNAO,3,ARNAO
ARNAUDO,3,ARNAUDO
AROMANDO,3,AROMANDO
ARPINI,3,ARPINI
ARRIGHETTI,3,ARRIGHETTI
ARRIGONI,3,ARRIGONI
ARTISTI,3,ARTISTI
ARZANI,3,ARZANI
ARZU,3,ARZU
ASCANIO,3,ASCANIO
ASCENTI,3,ASCENTI
ASCHERO,3,ASCHERO
ASCIOTI,3,ASCIOTI
ASINARI,3,ASINARI
ASNAGO,3,ASNAGO
ASQUINI,3,ASQUINI
ASSOGNA,3,ASSOGNA
ASTILLERO,3,ASTILLERO
ASTORE,3,ASTORE
ASTORINO,3,ASTORINO
ATENIESE,3,ATENIESE
ATTANASI,3,ATTANASI
ATTOLINO,3,ATTOLINO
ATZENIS,3,ATZENIS
AUCELLI,3,AUCELLI
AUFERIO,3,AUFERIO
AULETTA,3,AULETTA
AURORA,3,AURORA
AUTERIO,3,AUTERIO
AUTIERO,3,AUTIERO
AVALLI,3,AVALLI
AVANTAGGIATO,3,AVANTAGGIATO
AVANZI,3,AVANZI
AVANZO,3,AVANZO
AVENI,3,AVENI
AVERSA,3,AVERSA
AVESANI,3,AVESANI
AVOGADRI,3,AVOGADRI
AVOGARO,3,AVOGARO
AZARA,3,AZARA
AZZALIN,3,AZZALIN
AZZARI,3,AZZARI
AZZI,3,AZZI
BABARE,3,BABARE
BABUSCIO,3,BABUSCIO
BACCARO,3,BACCARO
BACCI,3,BACCI
BACCINI,3,BACCINI
BACELIERI,3,BACELIERI
BACIGALUPPI,3,BACIGALUPPI
BADALATI,3,BADALATI
BADALUCCO,3,BADALUCCO
BADESSI,3,BADESSI
BADIALE,3,BADIALE
BADOLATO,3,BADOLATO
BAGAGLIA,3,BAGAGLIA
BAGATINI,3,BAGATINI
BAGGI,3,BAGGI
BAGIACCHI,3,BAGIACCHI
BAGLI,3,BAGLI
BAGLIO,3,BAGLIO
BAGNASCHI,3,BAGNASCHI
BAGNESCHI,3,BAGNESCHI
BAGNOLI,3,BAGNOLI
BAIAMONTI,3,BAIAMONTI
BAIO,3,BAIO
BAIOCCHINO,3,BAIOCCHINO
BAJAMONTE,3,BAJAMONTE
BAJETTA,3,BAJETTA
BAJOCCHI,3,BAJOCCHI
BALANZINO,3,BALANZINO
BALBO,3,BALBO
BALDANI,3,BALDANI
BALDASSARRI,3,BALDASSARRI
BALDESSARE,3,BALDESSARE
BALDESSARRI,3,BALDESSARRI
BALDINI,3,BALDINI
BALDISSERI,3,BALDISSERI
BALDO,3,BALDO
BALDONE,3,BALDONE
BALDUCCI,3,BALDUCCI
BALESTRI,3,BALESTRI
BALESTRINO,3,BALESTRINO
