lemma,poscode,surface
Cabiria,3,Cabiria
Carina,3,Carina
Clodia,3,Clodia
Concetta,3,Concetta
Carmen,3,Carmen
Cleo,3,Cleo
Celinia,3,Celinia
Cassia,3,Cassia
Clizia,3,Clizia
Catina,3,Catina
Catrina,3,Catrina
Catalina,3,Catalina
Catia,3,Catia
Clarissa,3,Clarissa
Clementina,3,Clementina
Cloride,3,Cloride
Caterina,3,Caterina
Cleopatra,3,Cleopatra
Cassiopea,3,Cassiopea
Cirenia,3,Cirenia
Clotilde,3,Clotilde
Cesira,3,Cesira
Clia,3,Clia
Consolata,3,Consolata
Cora,3,Cora
Clarice,3,Clarice
Coralla,3,Coralla
Cirilla,3,Cirilla
Cosima,3,Cosima
Costanza,3,Costanza
Crescenzia,3,Crescenzia
Cornelia,3,Cornelia
Cunegonda,3,Cunegonda
Cosma,3,Cosma
Cordelia,3,Cordelia
Corina,3,Corina
Corinna,3,Corinna
Cristiana,3,Cristiana
Cristal,3,Cristal
Cristina,3,Cristina
Criseide,3,Criseide
Maschili,3,Maschili
Carlo,3,Carlo
Cartesio,3,Cartesio
Calogero,3,Calogero
Camillo,3,Camillo
Casimiro,3,Casimiro
Calliopo,3,Calliopo
Caio,3,Caio
Cinzio,3,Cinzio
Colombo,3,Colombo
Celio,3,Celio
Cirillo,3,Cirillo
Contardo,3,Contardo
Caino,3,Caino
Cloridano,3,Cloridano
Carmine,3,Carmine
Cimone,3,Cimone
Clodomiro,3,Clodomiro
Candido,3,Candido
Callisto,3,Callisto
Clemente,3,Clemente
Cicerone,3,Cicerone
Cino,3,Cino
Corebo,3,Corebo
Cafiero,3,Cafiero
Carmelo,3,Carmelo
Cornelio,3,Cornelio
Canzio,3,Canzio
Clementino,3,Clementino
Claudio,3,Claudio
Cataldo,3,Cataldo
Calimero,3,Calimero
Corrado,3,Corrado
Cassio,3,Cassio
Cirano,3,Cirano
Cosimo,3,Cosimo
Catullo,3,Catullo
Catello,3,Catello
Costante,3,Costante
Cesarino,3,Cesarino
Cipriano,3,Cipriano
Costantino,3,Costantino
Cecilio,3,Cecilio
Carisio,3,Carisio
Costanzo,3,Costanzo
Crescente,3,Crescente
Clodolfo,3,Clodolfo
Cunialdo,3,Cunialdo
Celerino,3,Celerino
Celestino,3,Celestino
Curzio,3,Curzio
Christian,3,Christian
Cleone,3,Cleone
Cristoforo,3,Cristoforo
Celiano,3,Celiano
Celidonio,3,Celidonio
Cristiano,3,Cristiano
Cristian,3,Cristian
Cesidio,3,Cesidio
Cristaldo,3,Cristaldo
Celino,3,Celino
Celso,3,Celso
Crispino,3,Crispino
Crisante,3,Crisante
Ciro,3,Ciro
Crescenzio,3,Crescenzio
Cesare,3,Cesare
Daniela,3,Daniela
Daria,3,Daria
Dalia,3,Dalia
Dafne,3,Dafne
Deianira,3,Deianira
Delia,3,Delia
Danila,3,Danila
Delfina,3,Delfina
Dania,3,Dania
Dalila,3,Dalila
Demetria,3,Demetria
Damia,3,Damia
Damiana,3,Damiana
Demetra,3,Demetra
Danelia,3,Danelia
Desideria,3,Desideria
Daiana,3,Daiana
Domitilla,3,Domitilla
Diana,3,Diana
Diomira,3,Diomira
Debora,3,Debora
Desdemona,3,Desdemona
Dirce,3,Dirce
Dina,3,Dina
Diodora,3,Diodora
Denise,3,Denise
Diletta,3,Diletta
Dionira,3,Dionira
Domenica,3,Domenica
Domia,3,Domia
Donatella,3,Donatella
Dora,3,Dora
Dionigia,3,Dionigia
Denisia,3,Denisia
Dorelia,3,Dorelia
Doriana,3,Doriana
Donata,3,Donata
Dorina,3,Dorina
Diva,3,Diva
Drusilla,3,Drusilla
Doretta,3,Doretta
Dorotea,3,Dorotea
Maschili,3,Maschili
Damiano,3,Damiano
Demetrio,3,Demetrio
Dasio,3,Dasio
Dalmazio,3,Dalmazio
Desiderio,3,Desiderio
Danao,3,Danao
Dino,3,Dino
Daniele,3,Daniele
Dioclezio,3,Dioclezio
Dario,3,Dario
Dionigi,3,Dionigi
Donatello,3,Donatello
Damocle,3,Damocle
Donato,3,Donato
Desiderato,3,Desiderato
Diego,3,Diego
Donnione,3,Donnione
Danilo,3,Danilo
Danio,3,Danio
Dionisio,3,Dionisio
Domezio,3,Domezio
Diomede,3,Diomede
Domenico,3,Domenico
Decio,3,Decio
Daciano,3,Daciano
Doriano,3,Doriano
Didimo,3,Didimo
Delfino,3,Delfino
Doroteo,3,Doroteo
Davide,3,Davide
Diodoro,3,Diodoro
Druso,3,Druso
Dardano,3,Dardano
Decimo,3,Decimo
Duilio,3,Duilio
Demiro,3,Demiro
Domiziano,3,Domiziano
Durante,3,Durante
Diogene,3,Diogene
Didaco,3,Didaco
Dante,3,Dante
Elena,3,Elena
Eletta,3,Eletta
Eda,3,Eda
Edda,3,Edda
Elide,3,Elide
Egle,3,Egle
Edmea,3,Edmea
Elenia,3,Elenia
Egina,3,Egina
Edera,3,Edera
Elodia,3,Elodia
Editta,3,Editta
Elidia,3,Elidia
Elisabetta,3,Elisabetta
Eleonora,3,Eleonora
Edmonda,3,Edmonda
Elisa,3,Elisa
Elsa,3,Elsa
Egeria,3,Egeria
Emanuela,3,Emanuela
Elvira,3,Elvira
Elvezia,3,Elvezia
Emiliana,3,Emiliana
Enrica,3,Enrica
Ecate,3,Ecate
Emma,3,Emma
Eleuteria,3,Eleuteria
Elga,3,Elga
Erasma,3,Erasma
Enone,3,Enone
Eloisa,3,Eloisa
Emi,3,Emi
Eliana,3,Eliana
Elettra,3,Elettra
Enrichetta,3,Enrichetta
Ernella,3,Ernella
Elsia,3,Elsia
Erlinda,3,Erlinda
Edma,3,Edma
Edvige,3,Edvige
Ermelinda,3,Ermelinda
Erminia,3,Erminia
Emerenziana,3,Emerenziana
Emilia,3,Emilia
Ermione,3,Ermione
Erina,3,Erina
Ermenegilda,3,Ermenegilda
Eloisia,3,Eloisia
Erica,3,Erica
Erika,3,Erika
Ernestina,3,Ernestina
Erna,3,Erna
Ersilia,3,Ersilia
Ester,3,Ester
Estella,3,Estella
Evelina,3,Evelina
Eufemia,3,Eufemia
Eugenia,3,Eugenia
Eunice,3,Eunice
Eva,3,Eva
Eulalia,3,Eulalia
Eurosia,3,Eurosia
Eufrasia,3,Eufrasia
Maschili,3,Maschili
Edilberto,3,Edilberto
Elio,3,Elio
Egidio,3,Egidio
Eberardo,3,Eberardo
Eliseo,3,Eliseo
Egeo,3,Egeo
Edgardo,3,Edgardo
Eraclide,3,Eraclide
Eustachio,3,Eustachio
Enrico,3,Enrico
Eraclio,3,Eraclio
Efisio,3,Efisio
Edmondo,3,Edmondo
Erberto,3,Erberto
Edilio,3,Edilio
Ezio,3,Ezio
Ermanno,3,Ermanno
Efebo,3,Efebo
Emilio,3,Emilio
Ermelao,3,Ermelao
Elpidio,3,Elpidio
Edoardo,3,Edoardo
Ermenegildo,3,Ermenegildo
Elano,3,Elano
Eolo,3,Eolo
Erasmo,3,Erasmo
Emanuele,3,Emanuele
Eldrado,3,Eldrado
Ermes,3,Ermes
Eleuterio,3,Eleuterio
Elvino,3,Elvino
Ernesto,3,Ernesto
Eligio,3,Eligio
Edipo,3,Edipo
Eros,3,Eros
Esiodo,3,Esiodo
Emiliano,3,Emiliano
Ervino,3,Ervino
Elmo,3,Elmo
Enotrio,3,Enotrio
Ettore,3,Ettore
Ennio,3,Ennio
Egisto,3,Egisto
Euclide,3,Euclide
Enzo,3,Enzo
Elvio,3,Elvio
Epifanio,3,Epifanio
Edo,3,Edo
Emone,3,Emone
Eudoro,3,Eudoro
Emmerico,3,Emmerico
Eliano,3,Eliano
Eufemio,3,Eufemio
Eufrasio,3,Eufrasio
Evaristo,3,Evaristo
Eraldo,3,Eraldo
Emidio,3,Emidio
Everardo,3,Everardo
Ercolano,3,Ercolano
Espedito,3,Espedito
Eugenio,3,Eugenio
Ezechiele,3,Ezechiele
Eusebio,3,Eusebio
Fabiana,3,Fabiana
Febe,3,Febe
Faina,3,Faina
Fabiola,3,Fabiola
Fedra,3,Fedra
Fabrizia,3,Fabrizia
Federica,3,Federica
Feliciana,3,Feliciana
Filippa,3,Filippa
Fabia,3,Fabia
Fenisia,3,Fenisia
Fatima,3,Fatima
Felicia,3,Felicia
Fidalma,3,Fidalma
Fara,3,Fara
Faustina,3,Faustina
Ferdinanda,3,Ferdinanda
Fiamma,3,Fiamma
Fausta,3,Fausta
Fiammetta,3,Fiammetta
Filomena,3,Filomena
Fevronia,3,Fevronia
Flaviana,3,Flaviana
Fenia,3,Fenia
Felicita,3,Felicita
Fenizia,3,Fenizia
Fernanda,3,Fernanda
Fiorella,3,Fiorella
Flavia,3,Flavia
Flaminia,3,Flaminia
Florenzia,3,Florenzia
Floria,3,Floria
Fiore,3,Fiore
Floriana,3,Floriana
Fosca,3,Fosca
Franca,3,Franca
Fiorina,3,Fiorina
Frediana,3,Frediana
Francesca,3,Francesca
Fioralba,3,Fioralba
Fiorisa,3,Fiorisa
Fiorenza,3,Fiorenza
Flora,3,Flora
Fortunia,3,Fortunia
Fulvia,3,Fulvia
Frida,3,Frida
Frine,3,Frine
Maschili,3,Maschili
Fabio,3,Fabio
Federico,3,Federico
Fazio,3,Fazio
Faustino,3,Faustino
Fiero,3,Fiero
Fabrizio,3,Fabrizio
Fedro,3,Fedro
Filiberto,3,Filiberto
Fiorello,3,Fiorello
Fabiano,3,Fabiano
Febo,3,Febo
Flaminio,3,Flaminio
Fausto,3,Fausto
Fineo,3,Fineo
Filotero,3,Filotero
Filippo,3,Filippo
Floriano,3,Floriano
Famiano,3,Famiano
Faone,3,Faone
Firmino,3,Firmino
Florio,3,Florio
Filomeno,3,Filomeno
Friso,3,Friso
Fedele,3,Fedele
Felice,3,Felice
Fiorenzo,3,Fiorenzo
Frumenzio,3,Frumenzio
Filoteo,3,Filoteo
Fulberto,3,Fulberto
Feliciano,3,Feliciano
Faliero,3,Faliero
Fulvio,3,Fulvio
Furio,3,Furio
Fidenzio,3,Fidenzio
Frediano,3,Frediano
Franco,3,Franco
Flavio,3,Flavio
Francesco,3,Francesco
Ferruccio,3,Ferruccio
Ferrante,3,Ferrante
Fortunato,3,Fortunato
Fosco,3,Fosco
Folco,3,Folco
Frido,3,Frido
Fernando,3,Fernando
Ferdinando,3,Ferdinando
Floriberto,3,Floriberto
Filemone,3,Filemone
Gaia,3,Gaia
Genesia,3,Genesia
Gertrude,3,Gertrude
Gaetana,3,Gaetana
Genoveffa,3,Genoveffa
Germana,3,Germana
Geltrude,3,Geltrude
Giacinta,3,Giacinta
Gianna,3,Gianna
Gelsina,3,Gelsina
Gioconda,3,Gioconda
Gelsa,3,Gelsa
Giralda,3,Giralda
Giovanna,3,Giovanna
Giannica,3,Giannica
Gaudenzia,3,Gaudenzia
Giana,3,Giana
Giselda,3,Giselda
Gigliola,3,Gigliola
Gisella,3,Gisella
Giada,3,Giada
Gelsomina,3,Gelsomina
Giliana,3,Giliana
Gia,3,Gia
Gemma,3,Gemma
Gioia,3,Gioia
Gabriella,3,Gabriella
Gilda,3,Gilda
Gigia,3,Gigia
Giaele,3,Giaele
Gardenia,3,Gardenia
Gina,3,Gina
Giorgiana,3,Giorgiana
Giorgia,3,Giorgia
Giordana,3,Giordana
Ginevra,3,Ginevra
Giulia,3,Giulia
Giustina,3,Giustina
Giuditta,3,Giuditta
Giuliana,3,Giuliana
Gloria,3,Gloria
Graziana,3,Graziana
Giulietta,3,Giulietta
Grazia,3,Grazia
Graziella,3,Graziella
Giuseppa,3,Giuseppa
Grimilde,3,Grimilde
Griselda,3,Griselda
Giuseppina,3,Giuseppina
Guendalina,3,Guendalina
Gloriana,3,Gloriana
Guenda,3,Guenda
Gelma,3,Gelma
Maschili,3,Maschili
Gaetano,3,Gaetano
Galvano,3,Galvano
Gabriele,3,Gabriele
Gaudo,3,Gaudo
Gerone,3,Gerone
Gennaro,3,Gennaro
Giacinto,3,Giacinto
Gaudenzio,3,Gaudenzio
Giacobbe,3,Giacobbe
Gherardo,3,Gherardo
Giacomo,3,Giacomo
Gabino,3,Gabino
Gaspare,3,Gaspare
Giasone,3,Giasone
Giorgio,3,Giorgio
Genesio,3,Genesio
Gioberto,3,Gioberto
Geminiano,3,Geminiano
Graziano,3,Graziano
Gerardo,3,Gerardo
Galdino,3,Galdino
Gaio,3,Gaio
Gregorio,3,Gregorio
Guglielmo,3,Guglielmo
Geraldo,3,Geraldo
Gandolfo,3,Gandolfo
Gioele,3,Gioele
Gildo,3,Gildo
Giona,3,Giona
Guido,3,Guido
Gavino,3,Gavino
Gilberto,3,Gilberto
Gelindo,3,Gelindo
Germano,3,Germano
Giordano,3,Giordano
Giraldo,3,Giraldo
Galileo,3,Galileo
Gino,3,Gino
Giosuè,3,Giosuè
Gioacchino,3,Gioacchino
Giovanni,3,Giovanni
Gervasio,3,Gervasio
Giustino,3,Giustino
Gianni,3,Gianni
Gustavo,3,Gustavo
Gesualdo,3,Gesualdo
Giulio,3,Giulio
Goffredo,3,Goffredo
Giobbe,3,Giobbe
Giuliano,3,Giuliano
Geremia,3,Geremia
Gastone,3,Gastone
Giuseppe,3,Giuseppe
Girolamo,3,Girolamo
Idalia,3,Idalia
Ilaria,3,Ilaria
Igina,3,Igina
Igea,3,Igea
Imelda,3,Imelda
Idalba,3,Idalba
Ilde,3,Ilde
Ida,3,Ida
Ilda,3,Ilda
Imma,3,Imma
Immacolata,3,Immacolata
Iole,3,Iole
Idelma,3,Idelma
Iginia,3,Iginia
Iride,3,Iride
Ilenia,3,Ilenia
Iolanda,3,Iolanda
Iris,3,Iris
Illuminata,3,Illuminata
Ippolita,3,Ippolita
Iside,3,Iside
Ione,3,Ione
Ires,3,Ires
Irene,3,Irene
Isella,3,Isella
Isanna,3,Isanna
Isabella,3,Isabella
Irma,3,Irma
Isa,3,Isa
Ismene,3,Ismene
Isetta,3,Isetta
Itria,3,Itria
Itala,3,Itala
Isotta,3,Isotta
Ivana,3,Ivana
Iva,3,Iva
Maschili,3,Maschili
Ignazio,3,Ignazio
Ireneo,3,Ireneo
Idreno,3,Idreno
Icilio,3,Icilio
Isocrate,3,Isocrate
Inaco,3,Inaco
Ilario,3,Ilario
Italo,3,Italo
Israele,3,Israele
Isauro,3,Isauro
Icaro,3,Icaro
Imero,3,Imero
Ipazio,3,Ipazio
Ildefonso,3,Ildefonso
Isidoro,3,Isidoro
Ivonio,3,Ivonio
Ivardo,3,Ivardo
Isaia,3,Isaia
Imerio,3,Imerio
Iginio,3,Iginio
Igino,3,Igino
Ildo,3,Ildo
Idalio,3,Idalio
Idalo,3,Idalo
Innocenzo,3,Innocenzo
Indro,3,Indro
Ificrate,3,Ificrate
Ivaldo,3,Ivaldo
Ivo,3,Ivo
Ildebrando,3,Ildebrando
Ismaele,3,Ismaele
Isacco,3,Isacco
Ilaro,3,Ilaro
Ippolito,3,Ippolito
Icio,3,Icio
Larissa,3,Larissa
Laura,3,Laura
Loredana,3,Loredana
Laurana,3,Laurana
Loretta,3,Loretta
Laodamia,3,Laodamia
Lorella,3,Lorella
Leocrizia,3,Leocrizia
Lavinia,3,Lavinia
Lalla,3,Lalla
Lara,3,Lara
Liboria,3,Liboria
Letizia,3,Letizia
Licia,3,Licia
Laodice,3,Laodice
Lora,3,Lora
Lea,3,Lea
Lia,3,Lia
Laila,3,Laila
Leila,3,Leila
Lelia,3,Lelia
Leonilde,3,Leonilde
Lidania,3,Lidania
Leonzia,3,Leonzia
Lice,3,Lice
Lilia,3,Lilia
Lili,3,Lili
Liana,3,Liana
Linda,3,Linda
Liviana,3,Liviana
Lidia,3,Lidia
Lidiana,3,Lidiana
Luciana,3,Luciana
Leandra,3,Leandra
Licena,3,Licena
Liliana,3,Liliana
Larisa,3,Larisa
Lucia,3,Lucia
Luce,3,Luce
Lorenza,3,Lorenza
Lucilla,3,Lucilla
Lucrezia,3,Lucrezia
Lola,3,Lola
Laurenza,3,Laurenza
Ludovica,3,Ludovica
Lorena,3,Lorena
Luisa,3,Luisa
Livia,3,Livia
Lina,3,Lina
Luana,3,Luana
Lorediana,3,Lorediana
Luigia,3,Luigia
Luisella,3,Luisella
Luisana,3,Luisana
Maschili,3,Maschili
Lamberto,3,Lamberto
Lelio,3,Lelio
Letterio,3,Letterio
Leone,3,Leone
Leucio,3,Leucio
Lavinio,3,Lavinio
Landolfo,3,Landolfo
Liberio,3,Liberio
Lauro,3,Lauro
Lidio,3,Lidio
Lotario,3,Lotario
Lieto,3,Lieto
Leonardo,3,Leonardo
Licinio,3,Licinio
Leandro,3,Leandro
Lino,3,Lino
